CCODE,Country,EVI,Exposure index,Population,Remoteness,Share of population in low elevated coastal zones ,Economic structure index,Export concentration,Shares of agriculture and forestry and fisheries,Shock index,Natural Shock index,Victims of natural disasters (%),Agricultural instability,Export instability,HAI,Health index,Prevalence of undernourishment  in total population (%),Under 5 mortality (per 1000),Maternal mortality (per 100 000 live birth),Education index,Literacy rate,Gross secondary enrolment ratio,GNI per capita ($)
TTO,Trinidad and Tobago,31.0,36.2,1364962.00,5791.86,2.91,14.22,0.34,0.37,25.72,18.97,0.01,7.47,14.74,93.97,96.67,4.80,18.50,62.72,91.26,98.97,85.51,17974.72
TUN,Tunisia,18.0,16.9,11403248.00,2201.24,8.52,9.89,0.14,9.87,19.19,38.39,0.02,12.76,4.55,88.58,97.68,5.00,13.60,62.02,79.47,79.04,88.20,3882.02
TUR,Turkey,10.8,3.5,79512426.00,2227.39,1.76,5.45,0.07,7.43,18.10,35.32,0.42,3.77,5.27,98.11,99.15,2.50,12.70,15.95,97.07,95.60,102.49,11945.68
TKM,Turkmenistan,36.1,34.8,5662544.00,3714.76,0.00,48.84,0.75,13.38,37.30,24.30,0.00,10.49,20.09,91.03,90.41,5.50,51.00,42.02,91.65,99.69,85.34,7047.45
TUV,Tuvalu,56.0,83.0,11097.00,9420.97,94.73,44.06,0.54,22.80,29.02,40.17,2.10,1.67,10.36,90.13,91.36,10.00,25.30,104.48,88.91,94.90,86.16,5387.60
UGA,Uganda,31.7,28.1,41487965.00,5589.38,0.00,25.80,0.18,26.05,35.39,39.77,0.87,3.66,14.30,50.24,62.99,39.00,53.00,343.13,37.49,70.20,23.24,661.28
ARE,United Arab Emirates,28.4,31.2,9269612.00,4229.30,14.78,9.91,0.27,0.73,25.70,44.29,0.00,17.89,7.13,87.98,99.97,3.80,7.70,6.10,76.00,94.00,64.00,42772.50
TZA,United Republic of Tanzania,27.9,27.5,55572201.00,6392.88,0.71,36.09,0.28,31.03,28.32,46.99,0.90,6.24,7.89,56.03,64.43,32.30,56.70,398.13,47.62,77.89,32.26,901.75
URY,Uruguay,31.7,41.0,3444006.00,9454.94,4.11,12.11,0.22,6.93,22.39,39.07,0.28,6.12,6.71,98.00,99.73,2.50,9.20,14.81,96.28,98.52,95.07,15772.05
UZB,Uzbekistan,23.0,23.7,31446795.00,3885.64,0.00,27.78,0.32,18.26,22.25,24.23,0.12,2.71,11.08,96.65,95.57,6.30,24.10,35.93,97.72,99.98,95.92,2247.48
VUT,Vanuatu,47.0,57.9,270402.00,9717.98,1.18,47.24,0.53,27.05,36.11,63.58,6.98,7.40,7.59,78.52,93.34,6.90,27.60,78.41,63.70,83.20,54.82,3014.23
VEN,Venezuela (Bolivarian Republic of),23.5,29.5,31568179.00,5949.70,2.50,35.07,0.63,5.73,17.48,31.04,0.18,4.31,6.18,92.05,91.76,13.00,16.30,95.40,92.34,97.13,89.66,10277.95
VNM,Viet Nam,30.1,39.5,94569072.00,4317.26,36.97,19.68,0.18,18.90,20.77,41.54,2.76,1.47,2.73,89.28,93.12,10.70,21.60,54.11,85.45,93.52,81.58,1951.24
YEM,Yemen,38.6,24.5,27584213.00,4540.81,1.58,33.12,0.45,15.58,52.75,21.08,0.05,3.58,30.32,59.23,67.02,28.80,55.30,385.16,51.43,69.96,48.62,954.33
ZMB,Zambia,40.5,38.2,16591390.00,7069.45,0.00,37.16,0.66,5.87,42.70,57.08,2.38,7.61,13.49,58.59,60.37,45.90,63.40,224.24,56.81,83.01,42.66,1560.83
ZWE,Zimbabwe,59.7,35.4,16150362.00,7323.40,0.00,23.29,0.34,11.75,84.02,68.05,5.40,9.68,37.70,59.84,56.34,44.70,56.40,443.31,63.33,88.69,47.57,952.68
